START
t[mus],		ax,	ay,	az,	gx,	gy,	gz,	mx,	my,	mz,	pres[Pa],	delta_p
397993532,	57,	-4128,	-111,	13,	-10,	30,	70,	50,	133,	97536.40,	1666
398007404,	39,	-4102,	-48,	19,	-5,	30,	125,	89,	210,	97536.40,	1666
398019816,	29,	-4100,	1,	23,	-2,	31,	127,	89,	210,	97536.40,	1666
398032104,	19,	-4102,	23,	27,	-12,	38,	125,	90,	210,	97536.40,	1666
398087660,	137,	-4120,	-113,	14,	-5,	-13,	125,	89,	210,	97537.26,	1666
      ...,	 ...,	  ...,   ...,   ...,     ...,   ...,    ...,   ...,	...,	     ...,        ...
554918528,	69,	-6854,	323,	-19,	-80,	8,	133,	88,	202,	97537.80,	1666
554931060,	309,	-4585,	97,	-8,	-93,	1,	133,	87,	203,	97537.80,	1666
554947380,	38,	-5194,	568,	-36,	-85,	-1,	133,	87,	203,	97540.87,	1669
554959744,	440,	-7738,	862,	-111,	-190,	38,	134,	88,	200,	97540.87,	1669
554972368,	-56,	-10749,	331,	-99,	-256,	79,	134,	86,	201,	97540.87,	1666
M
554987108,	-179,	-13974,	371,	90,	122,	-77,	134,	87,	203,	97536.60,	1671
554999640,	1042,	-15833,	867,	-4,	-56,	-24,	134,	87,	202,	97536.60,	1666
555012248,	59,	-17590,	-239,	-55,	-332,	-1,	135,	88,	204,	97534.02,	1673
555026488,	320,	-18992,	14,	-74,	-477,	17,	136,	88,	201,	97538.58,	1673
555041444,	-360,	-18859,	-1068,	-22,	-492,	-20,	131,	88,	202,	97538.58,	1660
      ...,	 ...,	  ...,   ...,   ...,     ...,   ...,    ...,   ...,	...,	     ...,        ...
557429548,	-132,	1301,	1105,	19,	-7060,	-90,	117,	90,	173,	96414.14,	1912
557446304,	-128,	1249,	941,	22,	-7040,	-100,	119,	90,	174,	96385.24,	1914
557458936,	-123,	1232,	913,	27,	-7033,	-126,	119,	90,	176,	96385.24,	1910
557471644,	-96,	1245,	915,	35,	-7011,	-154,	123,	91,	176,	96385.24,	1910
557485792,	-122,	1206,	981,	22,	-7003,	-178,	123,	89,	180,	96357.42,	1906
O
557498936,	-108,	1206,	929,	17,	-6992,	-196,	123,	88,	182,	96357.42,	1902
557511764,	-96,	1174,	819,	2,	-6960,	-224,	125,	91,	182,	96333.80,	1902
557525924,	-79,	1211,	804,	-23,	-6949,	-234,	128,	90,	184,	96333.80,	1899
557548104,	-203,	1317,	813,	-59,	-6901,	-256,	127,	91,	185,	96299.93,	1899
557560928,	-127,	1349,	656,	-82,	-6871,	-264,	127,	91,	190,	96299.93,	1897
      ...,	 ...,	  ...,   ...,   ...,     ...,   ...,    ...,   ...,	...,	     ...,        ...
558229156,	91,	1860,	1059,	-64,	-5733,	-218,	102,	91,	168,	95883.66,	1824
558241828,	259,	1844,	1284,	-66,	-5982,	-219,	106,	91,	169,	95883.66,	1826
558254648,	-474,	1791,	413,	-57,	-5588,	-235,	105,	89,	168,	95853.31,	1822
558268984,	789,	1759,	1385,	-47,	-5797,	-252,	108,	92,	168,	95853.31,	1820
558291264,	-377,	1727,	892,	-35,	-5875,	-268,	109,	91,	171,	95846.91,	1818
C
558304672,	164,	1663,	956,	-34,	-5670,	-292,	111,	91,	170,	95846.91,	1815
558318916,	192,	1706,	1097,	-26,	-5780,	-297,	113,	92,	170,	95824.52,	1813
558331652,	-242,	1737,	857,	-31,	-5669,	-307,	115,	90,	171,	95824.52,	1813
558344480,	196,	1626,	969,	-33,	-5699,	-309,	116,	91,	171,	95824.52,	1811
558358816,	-223,	1635,	646,	-26,	-5661,	-321,	116,	91,	173,	95798.19,	1811
      ...,	 ...,	  ...,   ...,   ...,     ...,   ...,    ...,   ...,	...,	     ...,        ...
559044096,	-87,	466,	430,	-8,	-4597,	-114,	94,	94,	193,	95523.46,	1765
559058036,	-97,	454,	420,	-14,	-4573,	-116,	95,	95,	191,	95500.44,	1763
559070460,	-91,	452,	423,	-15,	-4560,	-114,	94,	96,	191,	95500.44,	1763
559082972,	-136,	442,	381,	-19,	-4548,	-117,	94,	93,	191,	95500.44,	1763
559097208,	-122,	437,	373,	-25,	-4534,	-114,	93,	92,	190,	95486.47,	1763
O
559110244,	-121,	431,	433,	-25,	-4527,	-110,	93,	94,	187,	95486.47,	1761
559122852,	-145,	439,	389,	-26,	-4508,	-113,	92,	95,	187,	95486.47,	1761
559139416,	-93,	423,	420,	-31,	-4490,	-114,	94,	93,	186,	95477.16,	1761
559151864,	-129,	443,	417,	-34,	-4477,	-114,	92,	92,	183,	95477.16,	1761
559164496,	-170,	462,	442,	-36,	-4459,	-113,	92,	94,	180,	95458.82,	1759
      ...,	 ...,	  ...,   ...,   ...,     ...,   ...,    ...,   ...,	...,	     ...,        ...
STOP

