TIME,PRESS FILTER [hpa],HEIGHT FILTER [m],PRESS RAW [hpa],HEIGHT RAW [m],ACCEL [m/s2],SPEED [m/s],EVENT,EVENT,VOLT. CHANNEL,VOLTAGE [V]
0.005,97519.35156,1.25793457,97517,1.459655762,1.6677,0,0,PAD,5,8.152394245
0.01,97519.29688,1.26260376,97516,1.54574585,1.6677,0,0,PAD,1,8.152394245
0.015,97519.35938,1.256896973,97523,0.944213867,1.6677,0,0,PAD,2,8.037305244
0.02,97519.42188,1.251708984,97523,0.944213867,1.6677,0,0,PAD,3,8.136004312
0.025,97519.64844,1.231994629,97532,0.171600342,1.6677,0,0,PAD,4,8.029302616
0.03,97519.71094,1.226806641,97523,0.944213867,1.6677,0,0,PAD,5,8.155537034
0.035,97519.66406,1.230957031,97517,1.459655762,1.6677,0,0,PAD,1,8.152394245
0.04,97519.8125,1.218017578,97528,0.515380859,1.6677,0,0,PAD,2,8.037305244
0.045,97519.76563,1.222137451,97517,1.459655762,1.6677,0,0,PAD,3,8.136004312
0.05,97519.625,1.234069824,97512,1.889038086,1.6677,0,0,PAD,4,8.029302616
0.055,97519.77344,1.221618652,97528,0.515380859,1.6677,0,0,PAD,5,8.155537034
0.06,97519.72656,1.225769043,97517,1.459655762,1.6677,0,0,PAD,1,8.152394245
0.065,97519.78125,1.220581055,97523,0.944213867,1.6677,0,0,PAD,2,8.045307871
0.07,97519.83594,1.215942383,97523,0.944213867,1.6677,0,0,PAD,3,8.138671855
0.075,97519.78906,1.220062256,97517,1.459655762,1.6677,0,0,PAD,4,8.034637701
0.08,97519.84375,1.215423584,97523,0.944213867,1.6677,0,0,PAD,5,8.155537034
0.085,97519.79688,1.219543457,97517,1.459655762,1.6677,0,0,PAD,1,8.152394245
0.09,97519.65625,1.23147583,97512,1.889038086,1.6677,0,0,PAD,2,8.045307871
0.095,97519.51563,1.243408203,97512,1.889038086,1.6677,0,0,PAD,3,8.138671855
0.1,97519.57031,1.238739014,97523,0.944213867,1.6677,0,0,PAD,4,8.034637701
0.105,97519.53125,1.242370605,97517,1.459655762,2.1582,0,0,PAD,5,8.149251457
0.11,97519.46875,1.247558594,97516,1.54574585,1.6677,0,0,PAD,1,8.149251457
0.115,97519.42969,1.251190186,97517,1.459655762,1.6677,0,0,PAD,2,8.034637701
0.12,97519.36719,1.256378174,97516,1.54574585,1.6677,0,0,PAD,3,8.141339397
0.125,97519.23438,1.267791748,97512,1.889038086,1.6677,0,0,PAD,4,8.023967532
0.13,97519.19531,1.270904541,97517,1.459655762,1.6677,0,0,PAD,5,8.149251457
0.135,97519.03125,1.285430908,97510,2.060699463,1.6677,0,0,PAD,1,8.149251457
0.14,97519.05469,1.283355713,97521,1.116363525,2.1582,0,0,PAD,2,8.034637701
0.145,97519.20313,1.270385742,97528,0.515380859,1.6677,0,0,PAD,3,8.141339397
0.15,97519.27344,1.264678955,97523,0.944213867,1.6677,0,0,PAD,4,8.023967532
0.155,97519.30469,1.261566162,97521,1.116363525,1.6677,0,0,PAD,5,8.164965401
0.16,97519.26563,1.265197754,97517,1.459655762,1.6677,0,0,PAD,1,8.13982309
0.165,97519.42188,1.251708984,97528,0.515380859,1.6677,0,0,PAD,2,8.029302616
0.17,97519.29688,1.26260376,97512,1.889038086,1.6677,0,0,PAD,3,8.136004312
0.175,97519.25781,1.265716553,97517,1.459655762,1.6677,0,0,PAD,4,8.023967532
0.18,97519.125,1.277130127,97512,1.889038086,1.6677,0,0,PAD,5,8.164965401
0.185,97519,1.287994385,97512,1.889038086,1.6677,0,0,PAD,1,8.13982309
0.19,97519.11719,1.277648926,97526,0.687011719,1.6677,0,0,PAD,2,8.029302616
0.195,97519.08594,1.280761719,97517,1.459655762,1.6677,0,0,PAD,3,8.136004312
0.2,97519.04688,1.283874512,97517,1.459655762,1.6677,0,0,PAD,4,8.026635074
0.205,97519.10938,1.278686523,97523,0.944213867,1.6677,0,0,PAD,5,8.158679823
0.21,97519.07813,1.281280518,97517,1.459655762,1.6677,0,0,PAD,1,8.152394245
0.215,97518.94531,1.292663574,97512,1.889038086,1.6677,0,0,PAD,2,8.026635074
0.22,97518.96875,1.290588379,97521,1.116363525,1.6677,0,0,PAD,3,8.136004312
0.225,97519.125,1.277130127,97528,0.515380859,1.6677,0,0,PAD,4,8.026635074
0.23,97519.19531,1.270904541,97523,0.944213867,1.6677,0,0,PAD,5,8.158679823
0.235,97519.26563,1.265197754,97523,0.944213867,1.6677,0,0,PAD,1,8.152394245
0.24,97519.14063,1.276092529,97512,1.889038086,1.6677,0,0,PAD,2,8.026635074
0.245,97519.10156,1.279205322,97517,1.459655762,1.6677,0,0,PAD,3,8.136004312
0.25,97519.13281,1.276611328,97521,1.116363525,1.6677,0,0,PAD,4,8.031970159
0.255,97519.00781,1.287475586,97512,1.889038086,1.6677,0,0,PAD,5,8.149251457
0.26,97518.875,1.29888916,97512,1.889038086,1.6677,0,0,PAD,1,8.149251457
0.265,97518.74219,1.310302734,97512,1.889038086,1.6677,0,0,PAD,2,8.045307871
0.27,97518.80469,1.304595947,97523,0.944213867,1.6677,0,0,PAD,3,8.136004312
0.275,97518.86719,1.299407959,97523,0.944213867,1.6677,0,0,PAD,4,8.031970159
0.28,97518.92969,1.293701172,97523,0.944213867,1.6677,0,0,PAD,5,8.149251457
0.285,97519.08594,1.280761719,97528,0.515380859,1.6677,0,0,PAD,1,8.149251457
0.29,97519.03906,1.284393311,97516,1.54574585,1.6677,0,0,PAD,2,8.045307871
0.295,97519,1.287994385,97517,1.459655762,1.6677,0,0,PAD,3,8.138671855
0.3,97518.77344,1.307189941,97507,2.318450928,1.6677,0,0,PAD,4,8.023967532
0.305,97518.71875,1.311859131,97516,1.54574585,1.6677,0,0,PAD,5,8.158679823
0.31,97518.67969,1.315490723,97517,1.459655762,1.6677,0,0,PAD,1,8.199536078
0.315,97518.83594,1.302001953,97528,0.515380859,1.6677,0,0,PAD,2,8.045307871
0.32,97518.80469,1.304595947,97517,1.459655762,1.6677,0,0,PAD,3,8.138671855
0.325,97518.76563,1.308227539,97517,1.459655762,1.6677,0,0,PAD,4,8.023967532
0.33,97518.64063,1.318603516,97512,1.889038086,1.6677,0,0,PAD,5,8.158679823
0.335,97518.60156,1.322235107,97517,1.459655762,1.6677,0,0,PAD,1,8.199536078
0.34,97518.83594,1.302001953,97532,0.171600342,1.6677,0,0,PAD,2,8.082653464
0.345,97518.90625,1.295776367,97523,0.944213867,1.6677,0,0,PAD,3,8.176017448
0.35,97518.86719,1.299407959,97517,1.459655762,1.6677,0,0,PAD,4,8.06664821
0.355,97518.64844,1.318084717,97507,2.318450928,1.6677,0,0,PAD,5,8.1932505
0.36,97518.51563,1.329498291,97512,1.889038086,1.6677,0,0,PAD,1,8.199536078
0.365,97518.64063,1.318603516,97526,0.687011719,1.6677,0,0,PAD,2,8.082653464
0.37,97518.71094,1.312896729,97523,0.944213867,1.6677,0,0,PAD,3,8.176017448
0.375,97518.78125,1.306671143,97523,0.944213867,2.1582,0,0,PAD,4,8.06664821
0.38,97518.85156,1.300445557,97523,0.944213867,1.6677,0,0,PAD,5,8.1932505
0.385,97519.07813,1.281280518,97532,0.171600342,1.6677,0,0,PAD,1,8.202678867
0.39,97519.14844,1.275054932,97523,0.944213867,1.6677,0,0,PAD,2,8.029302616
0.395,97519.21875,1.269348145,97523,0.944213867,1.6677,0,0,PAD,3,8.146674482
0.4,97519.17969,1.272460938,97517,1.459655762,1.6677,0,0,PAD,4,8.026635074
0.405,97519.14063,1.276092529,97517,1.459655762,1.6677,0,0,PAD,5,8.158679823
0.41,97519.10156,1.279205322,97517,1.459655762,1.6677,0,0,PAD,1,8.202678867
0.415,97519.17188,1.272979736,97523,0.944213867,1.6677,0,0,PAD,2,8.029302616
0.42,97519.32813,1.259490967,97528,0.515380859,1.6677,0,0,PAD,3,8.146674482
0.425,97519.39063,1.254302979,97523,0.944213867,1.6677,0,0,PAD,4,8.026635074
0.43,97519.25781,1.265716553,97512,1.889038086,1.6677,0,0,PAD,5,8.158679823
0.435,97519.21875,1.269348145,97517,1.459655762,2.1582,0,0,PAD,1,8.212107233
0.44,97519.28125,1.263641357,97523,0.944213867,1.6677,0,0,PAD,2,8.090656091
0.445,97519.24219,1.267272949,97517,1.459655762,1.6677,0,0,PAD,3,8.181352533
0.45,97519.10938,1.278686523,97512,1.889038086,1.6677,0,0,PAD,4,8.063980668
0.455,97518.98438,1.289031982,97512,1.889038086,1.6677,0,0,PAD,5,8.158679823
0.46,97518.75781,1.308746338,97507,2.318450928,1.6677,0,0,PAD,1,8.212107233
0.465,97518.625,1.320159912,97512,1.889038086,2.1582,0,0,PAD,2,8.090656091
0.47,97518.6875,1.314971924,97523,0.944213867,1.6677,0,0,PAD,3,8.181352533
0.475,97518.35938,1.342987061,97501,2.833465576,2.1582,0,0,PAD,4,8.063980668
0.48,97518.42969,1.336761475,97523,0.944213867,1.6677,0,0,PAD,5,8.205821656
0.485,97518.39844,1.339355469,97517,1.459655762,1.6677,0,0,PAD,1,8.16810819
0.49,97518.28125,1.349731445,97512,1.889038086,1.6677,0,0,PAD,2,8.034637701
0.495,97518.35156,1.343505859,97523,0.944213867,1.6677,0,0,PAD,3,8.144006939
0.5,97518.42969,1.336761475,97523,0.944213867,1.6677,0,0,PAD,4,8.039972786
0.505,97518.5,1.331054688,97523,0.944213867,2.1582,0,0,PAD,5,8.205821656
0.51,97518.38281,1.340911865,97512,1.889038086,1.6677,0,0,PAD,1,8.16810819
0.515,97518.45313,1.334686279,97523,0.944213867,1.6677,0,0,PAD,2,8.034637701
0.52,97518.42188,1.337799072,97517,1.459655762,1.6677,0,0,PAD,3,8.144006939
0.525,97518.21094,1.355407715,97507,2.318450928,1.6677,0,0,PAD,4,8.039972786
0.53,97518.17969,1.358520508,97517,1.459655762,1.6677,0,0,PAD,5,8.155537034
0.535,97517.96875,1.376678467,97507,2.318450928,1.6677,0,0,PAD,1,8.146108668
0.54,97518.13281,1.3621521,97528,0.515380859,1.6677,0,0,PAD,2,8.037305244
0.545,97518.10938,1.364227295,97517,1.459655762,1.6677,0,0,PAD,3,8.141339397
0.55,97518.14844,1.361114502,97521,1.116363525,1.6677,0,0,PAD,4,8.039972786
0.555,97518.125,1.363189697,97517,1.459655762,2.1582,0,0,PAD,5,8.155537034
0.56,97517.91406,1.381347656,97507,2.318450928,1.6677,0,0,PAD,1,8.146108668
0.565,97517.99219,1.374603271,97523,0.944213867,1.6677,0,0,PAD,2,8.037305244
0.57,97517.96875,1.376678467,97517,1.459655762,1.6677,0,0,PAD,3,8.141339397
0.575,97517.92969,1.37979126,97516,1.54574585,1.6677,0,0,PAD,4,8.034637701
0.58,97517.82031,1.389129639,97512,1.889038086,1.6677,0,0,PAD,5,8.158679823
0.585,97517.89844,1.382385254,97523,0.944213867,1.6677,0,0,PAD,1,8.142965879
0.59,97517.98438,1.37512207,97523,0.944213867,1.6677,0,0,PAD,2,8.034637701
0.595,97517.96094,1.377197266,97517,1.459655762,1.6677,0,0,PAD,3,8.141339397
0.6,97517.9375,1.379272461,97517,1.459655762,1.6677,0,0,PAD,4,8.034637701
0.605,97517.91406,1.381347656,97517,1.459655762,1.6677,0,0,PAD,5,8.158679823
0.61,97517.99219,1.374603271,97523,0.944213867,1.6677,0,0,PAD,1,8.142965879
0.615,97517.78906,1.391723633,97507,2.318450928,1.6677,0,0,PAD,2,8.034637701
0.62,97517.67969,1.401062012,97512,1.889038086,2.1582,0,0,PAD,3,8.136004312
0.625,97517.76563,1.393798828,97523,0.944213867,1.6677,0,0,PAD,4,8.023967532
0.63,97517.94531,1.378234863,97528,0.515380859,1.6677,0,0,PAD,5,8.155537034
0.635,97517.92969,1.37979126,97517,1.459655762,1.6677,0,0,PAD,1,8.149251457
0.64,97518.00781,1.373046875,97523,0.944213867,1.6677,0,0,PAD,2,8.050642956
0.645,97518.08594,1.36630249,97523,0.944213867,1.6677,0,0,PAD,3,8.136004312
0.65,97518.16406,1.359558105,97523,0.944213867,1.6677,0,0,PAD,4,8.023967532
